coe1,coe2,coe3,coe4,coe5,coe6,coe7,coe8,coe9,coe10,coe11,coe12,coe13
-244.51247,71.093475,-25.302017,42.457,-1.3844614,16.673573,-7.832242,-1.2244084,19.46801,-14.349348,7.9675293,-0.6196948,-3.194535
-243.54437,70.94835,-30.102669,40.956276,-5.656577,9.127838,-5.735594,-3.3721526,19.248634,-12.917402,6.9888034,1.8834734,-1.5792549
-243.04456,67.336685,-28.315819,37.316017,-8.120275,11.073798,-6.801077,-0.83831877,19.187012,-10.53737,4.8837805,3.5039043,-3.3735445
-246.1416,70.46805,-24.855076,41.449947,-7.926775,13.097286,-3.8163128,5.9204817,20.941605,-11.91857,4.661251,7.281172,-0.39261994
-251.0409,75.97947,-24.553726,49.76528,-12.392464,3.0382302,0.87829053,6.8347793,22.4749,-15.003572,13.612582,6.275008,5.359694
-244.90758,77.283554,-28.352062,51.786697,-9.75168,2.630848,-0.2944208,1.3329413,23.786503,-20.716286,13.701523,-1.8627937,1.863462
-238.27242,71.43068,-23.067207,49.551926,-6.1639895,6.2613134,-6.4097223,-1.7743361,19.285007,-16.27566,11.569219,1.61801,-1.131372
-240.98953,71.4514,-20.295164,42.774097,-6.767868,9.332806,-8.470162,-2.7328289,15.505821,-11.826143,12.274435,6.4265556,3.8824282
-249.62561,70.19502,-19.947765,44.720833,-4.289525,12.439405,-5.4273844,-0.08804941,16.046665,-9.673315,10.884808,9.257076,9.272042
-247.37128,76.25774,-19.989918,40.367485,-8.60098,13.170277,-2.5535896,2.6029897,19.34177,-12.981667,6.944868,3.271575,3.660089
-244.4192,76.05545,-21.759768,37.14296,-14.51572,10.201738,-4.0871778,1.8481154,18.72834,-10.383173,7.1297016,0.53211707,-1.340867
-250.3022,73.4104,-23.760328,36.805237,-10.638032,14.114623,1.4822273,2.2040954,17.201591,-12.337922,8.142998,5.1532726,-1.3155068
-248.82657,75.096634,-20.957865,43.27523,-6.221179,12.318372,1.0549967,1.4614568,16.207582,-16.152338,11.908508,7.2957478,-1.6767478
-242.03767,80.44309,-19.39214,44.949425,-11.467309,14.383436,-1.3094407,1.342499,18.274311,-13.323551,11.910437,6.3624687,0.7618859
-242.0123,76.396576,-19.361443,43.370716,-12.985493,8.069182,-4.047517,3.43784,19.265598,-11.213084,10.298622,4.7972994,-1.0737607
-247.88544,65.712875,-24.523907,44.647957,-9.897898,7.65981,-2.687083,-4.613372,12.100968,-15.162498,12.574999,1.7567662,-5.784507
-247.66199,67.68931,-25.774149,46.563683,-10.39609,5.3251314,-4.164921,-7.848195,9.680409,-15.023861,12.660034,4.1607695,-4.8658533
-246.64708,73.05596,-25.847736,44.0867,-15.189102,7.745021,-6.128823,-1.2420566,16.775093,-6.9223547,14.720726,3.6325393,-4.0526075
-242.13905,75.15564,-25.884209,48.099396,-10.671396,13.113277,0.9118544,3.091975,20.546974,-6.5867414,9.141319,-0.91045254,-2.939724
-245.34203,75.57872,-24.77977,52.25467,-8.081331,11.938026,0.7024913,1.8334832,22.399818,-10.135681,8.425156,-0.051042616,-6.034176
-251.14694,72.39589,-20.897036,46.949924,-12.229998,7.9017057,-4.033996,2.3313515,22.676935,-11.670591,7.4045086,1.8305608,-6.9631166
-246.7627,76.41792,-17.644955,42.854668,-12.413144,6.5559254,-6.4519644,6.2059846,19.47208,-18.124363,1.8779216,0.9166111,-3.2483993
-243.5349,78.79074,-17.611202,40.390167,-15.965315,7.3395386,-8.915617,2.2142186,16.894798,-20.031197,5.5437574,2.5973828,-1.0530131
-247.20732,73.15042,-26.056076,40.56628,-14.117155,9.084397,-8.103885,-2.3963447,18.081137,-15.938411,12.95195,6.145707,1.0765718
-249.02052,69.08263,-22.904995,41.410652,-5.4910903,15.9764,-3.608571,0.831012,18.144684,-13.006959,10.759834,8.761869,-0.8332958
-246.87434,69.07585,-20.95544,42.271946,-2.130574,17.185402,-2.2545712,6.402455,16.982069,-12.787591,8.403877,1.8006161,-0.86836016
